realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,1946-01-01,.
2023-04-30,2023-04-30,1946-04-01,.
2023-04-30,2023-04-30,1946-07-01,.
2023-04-30,2023-04-30,1946-10-01,.
2023-04-30,2023-04-30,1947-01-01,243.164
2023-04-30,2023-04-30,1947-04-01,245.968
2023-04-30,2023-04-30,1947-07-01,249.585
2023-04-30,2023-04-30,1947-10-01,259.745
2023-04-30,2023-04-30,1948-01-01,265.742
2023-04-30,2023-04-30,1948-04-01,272.567
2023-04-30,2023-04-30,1948-07-01,279.196
2023-04-30,2023-04-30,1948-10-01,280.366
2023-04-30,2023-04-30,1949-01-01,275.034
2023-04-30,2023-04-30,1949-04-01,271.351
2023-04-30,2023-04-30,1949-07-01,272.889
2023-04-30,2023-04-30,1949-10-01,270.627
2023-04-30,2023-04-30,1950-01-01,280.828
2023-04-30,2023-04-30,1950-04-01,290.383
2023-04-30,2023-04-30,1950-07-01,308.153
2023-04-30,2023-04-30,1950-10-01,319.945
2023-04-30,2023-04-30,1951-01-01,336.0
2023-04-30,2023-04-30,1951-04-01,344.09
2023-04-30,2023-04-30,1951-07-01,351.385
2023-04-30,2023-04-30,1951-10-01,356.178
2023-04-30,2023-04-30,1952-01-01,359.82
2023-04-30,2023-04-30,1952-04-01,361.03
2023-04-30,2023-04-30,1952-07-01,367.701
2023-04-30,2023-04-30,1952-10-01,380.812
2023-04-30,2023-04-30,1953-01-01,387.98
2023-04-30,2023-04-30,1953-04-01,391.749
2023-04-30,2023-04-30,1953-07-01,391.171
2023-04-30,2023-04-30,1953-10-01,385.97
2023-04-30,2023-04-30,1954-01-01,385.345
2023-04-30,2023-04-30,1954-04-01,386.121
2023-04-30,2023-04-30,1954-07-01,390.996
2023-04-30,2023-04-30,1954-10-01,399.734
2023-04-30,2023-04-30,1955-01-01,413.073
2023-04-30,2023-04-30,1955-04-01,421.532
2023-04-30,2023-04-30,1955-07-01,430.221
2023-04-30,2023-04-30,1955-10-01,437.092
2023-04-30,2023-04-30,1956-01-01,439.746
2023-04-30,2023-04-30,1956-04-01,446.01
2023-04-30,2023-04-30,1956-07-01,451.191
2023-04-30,2023-04-30,1956-10-01,460.463
2023-04-30,2023-04-30,1957-01-01,469.779
2023-04-30,2023-04-30,1957-04-01,472.025
2023-04-30,2023-04-30,1957-07-01,479.49
2023-04-30,2023-04-30,1957-10-01,474.864
2023-04-30,2023-04-30,1958-01-01,467.54
2023-04-30,2023-04-30,1958-04-01,471.978
2023-04-30,2023-04-30,1958-07-01,485.841
2023-04-30,2023-04-30,1958-10-01,499.555
2023-04-30,2023-04-30,1959-01-01,510.33
2023-04-30,2023-04-30,1959-04-01,522.653
2023-04-30,2023-04-30,1959-07-01,525.034
2023-04-30,2023-04-30,1959-10-01,528.6
2023-04-30,2023-04-30,1960-01-01,542.648
2023-04-30,2023-04-30,1960-04-01,541.08
2023-04-30,2023-04-30,1960-07-01,545.604
2023-04-30,2023-04-30,1960-10-01,540.197
2023-04-30,2023-04-30,1961-01-01,545.018
2023-04-30,2023-04-30,1961-04-01,555.545
2023-04-30,2023-04-30,1961-07-01,567.664
2023-04-30,2023-04-30,1961-10-01,580.612
2023-04-30,2023-04-30,1962-01-01,594.013
2023-04-30,2023-04-30,1962-04-01,600.366
2023-04-30,2023-04-30,1962-07-01,609.027
2023-04-30,2023-04-30,1962-10-01,612.28
2023-04-30,2023-04-30,1963-01-01,621.672
2023-04-30,2023-04-30,1963-04-01,629.752
2023-04-30,2023-04-30,1963-07-01,644.444
2023-04-30,2023-04-30,1963-10-01,653.938
2023-04-30,2023-04-30,1964-01-01,669.822
2023-04-30,2023-04-30,1964-04-01,678.674
2023-04-30,2023-04-30,1964-07-01,692.031
2023-04-30,2023-04-30,1964-10-01,697.319
2023-04-30,2023-04-30,1965-01-01,717.79
2023-04-30,2023-04-30,1965-04-01,730.191
2023-04-30,2023-04-30,1965-07-01,749.323
2023-04-30,2023-04-30,1965-10-01,771.857
2023-04-30,2023-04-30,1966-01-01,795.734
2023-04-30,2023-04-30,1966-04-01,804.981
2023-04-30,2023-04-30,1966-07-01,819.638
2023-04-30,2023-04-30,1966-10-01,833.302
2023-04-30,2023-04-30,1967-01-01,844.17
2023-04-30,2023-04-30,1967-04-01,848.983
2023-04-30,2023-04-30,1967-07-01,865.233
2023-04-30,2023-04-30,1967-10-01,881.439
2023-04-30,2023-04-30,1968-01-01,909.387
2023-04-30,2023-04-30,1968-04-01,934.344
2023-04-30,2023-04-30,1968-07-01,950.825
2023-04-30,2023-04-30,1968-10-01,968.03
2023-04-30,2023-04-30,1969-01-01,993.337
2023-04-30,2023-04-30,1969-04-01,1009.02
2023-04-30,2023-04-30,1969-07-01,1029.956
2023-04-30,2023-04-30,1969-10-01,1038.147
2023-04-30,2023-04-30,1970-01-01,1051.2
2023-04-30,2023-04-30,1970-04-01,1067.375
2023-04-30,2023-04-30,1970-07-01,1086.059
2023-04-30,2023-04-30,1970-10-01,1088.608
2023-04-30,2023-04-30,1971-01-01,1135.156
2023-04-30,2023-04-30,1971-04-01,1156.271
2023-04-30,2023-04-30,1971-07-01,1177.675
2023-04-30,2023-04-30,1971-10-01,1190.297
2023-04-30,2023-04-30,1972-01-01,1230.609
2023-04-30,2023-04-30,1972-04-01,1266.369
2023-04-30,2023-04-30,1972-07-01,1290.566
2023-04-30,2023-04-30,1972-10-01,1328.904
2023-04-30,2023-04-30,1973-01-01,1377.49
2023-04-30,2023-04-30,1973-04-01,1413.887
2023-04-30,2023-04-30,1973-07-01,1433.838
2023-04-30,2023-04-30,1973-10-01,1476.289
2023-04-30,2023-04-30,1974-01-01,1491.209
2023-04-30,2023-04-30,1974-04-01,1530.056
2023-04-30,2023-04-30,1974-07-01,1560.026
2023-04-30,2023-04-30,1974-10-01,1599.679
2023-04-30,2023-04-30,1975-01-01,1616.116
2023-04-30,2023-04-30,1975-04-01,1651.853
2023-04-30,2023-04-30,1975-07-01,1709.82
2023-04-30,2023-04-30,1975-10-01,1761.831
2023-04-30,2023-04-30,1976-01-01,1820.487
2023-04-30,2023-04-30,1976-04-01,1852.332
2023-04-30,2023-04-30,1976-07-01,1886.558
2023-04-30,2023-04-30,1976-10-01,1934.273
2023-04-30,2023-04-30,1977-01-01,1988.648
2023-04-30,2023-04-30,1977-04-01,2055.909
2023-04-30,2023-04-30,1977-07-01,2118.473
2023-04-30,2023-04-30,1977-10-01,2164.27
2023-04-30,2023-04-30,1978-01-01,2202.76
2023-04-30,2023-04-30,1978-04-01,2331.633
2023-04-30,2023-04-30,1978-07-01,2395.053
2023-04-30,2023-04-30,1978-10-01,2476.949
2023-04-30,2023-04-30,1979-01-01,2526.61
2023-04-30,2023-04-30,1979-04-01,2591.247
2023-04-30,2023-04-30,1979-07-01,2667.565
2023-04-30,2023-04-30,1979-10-01,2723.883
2023-04-30,2023-04-30,1980-01-01,2789.842
2023-04-30,2023-04-30,1980-04-01,2797.352
2023-04-30,2023-04-30,1980-07-01,2856.483
2023-04-30,2023-04-30,1980-10-01,2985.557
2023-04-30,2023-04-30,1981-01-01,3124.206
2023-04-30,2023-04-30,1981-04-01,3162.532
2023-04-30,2023-04-30,1981-07-01,3260.609
2023-04-30,2023-04-30,1981-10-01,3280.818
2023-04-30,2023-04-30,1982-01-01,3274.302
2023-04-30,2023-04-30,1982-04-01,3331.972
2023-04-30,2023-04-30,1982-07-01,3366.322
2023-04-30,2023-04-30,1982-10-01,3402.561
2023-04-30,2023-04-30,1983-01-01,3473.413
2023-04-30,2023-04-30,1983-04-01,3578.848
2023-04-30,2023-04-30,1983-07-01,3689.179
2023-04-30,2023-04-30,1983-10-01,3794.706
2023-04-30,2023-04-30,1984-01-01,3908.054
2023-04-30,2023-04-30,1984-04-01,4009.601
2023-04-30,2023-04-30,1984-07-01,4084.25
2023-04-30,2023-04-30,1984-10-01,4148.551
2023-04-30,2023-04-30,1985-01-01,4230.168
2023-04-30,2023-04-30,1985-04-01,4294.887
2023-04-30,2023-04-30,1985-07-01,4386.773
2023-04-30,2023-04-30,1985-10-01,4444.094
2023-04-30,2023-04-30,1986-01-01,4507.894
2023-04-30,2023-04-30,1986-04-01,4545.34
2023-04-30,2023-04-30,1986-07-01,4607.669
2023-04-30,2023-04-30,1986-10-01,4657.627
2023-04-30,2023-04-30,1987-01-01,4722.156
2023-04-30,2023-04-30,1987-04-01,4806.16
2023-04-30,2023-04-30,1987-07-01,4884.555
2023-04-30,2023-04-30,1987-10-01,5007.994
2023-04-30,2023-04-30,1988-01-01,5073.372
2023-04-30,2023-04-30,1988-04-01,5190.036
2023-04-30,2023-04-30,1988-07-01,5282.835
2023-04-30,2023-04-30,1988-10-01,5399.509
2023-04-30,2023-04-30,1989-01-01,5511.253
2023-04-30,2023-04-30,1989-04-01,5612.463
2023-04-30,2023-04-30,1989-07-01,5695.365
2023-04-30,2023-04-30,1989-10-01,5747.237
2023-04-30,2023-04-30,1990-01-01,5872.701
2023-04-30,2023-04-30,1990-04-01,5960.028
2023-04-30,2023-04-30,1990-07-01,6015.116
2023-04-30,2023-04-30,1990-10-01,6004.733
2023-04-30,2023-04-30,1991-01-01,6035.178
2023-04-30,2023-04-30,1991-04-01,6126.862
2023-04-30,2023-04-30,1991-07-01,6205.937
2023-04-30,2023-04-30,1991-10-01,6264.54
2023-04-30,2023-04-30,1992-01-01,6363.102
2023-04-30,2023-04-30,1992-04-01,6470.763
2023-04-30,2023-04-30,1992-07-01,6566.641
2023-04-30,2023-04-30,1992-10-01,6680.803
2023-04-30,2023-04-30,1993-01-01,6729.459
2023-04-30,2023-04-30,1993-04-01,6808.939
2023-04-30,2023-04-30,1993-07-01,6882.098
2023-04-30,2023-04-30,1993-10-01,7013.738
2023-04-30,2023-04-30,1994-01-01,7115.652
2023-04-30,2023-04-30,1994-04-01,7246.931
2023-04-30,2023-04-30,1994-07-01,7331.075
2023-04-30,2023-04-30,1994-10-01,7455.288
2023-04-30,2023-04-30,1995-01-01,7522.289
2023-04-30,2023-04-30,1995-04-01,7580.997
2023-04-30,2023-04-30,1995-07-01,7683.125
2023-04-30,2023-04-30,1995-10-01,7772.586
2023-04-30,2023-04-30,1996-01-01,7868.468
2023-04-30,2023-04-30,1996-04-01,8032.84
2023-04-30,2023-04-30,1996-07-01,8131.408
2023-04-30,2023-04-30,1996-10-01,8259.771
2023-04-30,2023-04-30,1997-01-01,8362.655
2023-04-30,2023-04-30,1997-04-01,8518.825
2023-04-30,2023-04-30,1997-07-01,8662.823
2023-04-30,2023-04-30,1997-10-01,8765.907
2023-04-30,2023-04-30,1998-01-01,8866.48
