realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,1980-11-01,1598.5
2023-04-30,2023-04-30,1980-12-01,1603.1
2023-04-30,2023-04-30,1981-01-01,1612.9
2023-04-30,2023-04-30,1981-02-01,1608.1
2023-04-30,2023-04-30,1981-03-01,1629.4
2023-04-30,2023-04-30,1981-04-01,1665.6
2023-04-30,2023-04-30,1981-05-01,1655.2
2023-04-30,2023-04-30,1981-06-01,1664.5
2023-04-30,2023-04-30,1981-07-01,1685.2
2023-04-30,2023-04-30,1981-08-01,1693.3
2023-04-30,2023-04-30,1981-09-01,1706.2
2023-04-30,2023-04-30,1981-10-01,1725.5
2023-04-30,2023-04-30,1981-11-01,1738.5
2023-04-30,2023-04-30,1981-12-01,1759.2
2023-04-30,2023-04-30,1982-01-01,1775.3
2023-04-30,2023-04-30,1982-02-01,1764.7
2023-04-30,2023-04-30,1982-03-01,1777.7
2023-04-30,2023-04-30,1982-04-01,1809.5
2023-04-30,2023-04-30,1982-05-01,1803.2
2023-04-30,2023-04-30,1982-06-01,1822.6
2023-04-30,2023-04-30,1982-07-01,1834.9
2023-04-30,2023-04-30,1982-08-01,1843.6
2023-04-30,2023-04-30,1982-09-01,1859.0
2023-04-30,2023-04-30,1982-10-01,1873.8
2023-04-30,2023-04-30,1982-11-01,1887.4
2023-04-30,2023-04-30,1982-12-01,1909.9
2023-04-30,2023-04-30,1983-01-01,1960.8
2023-04-30,2023-04-30,1983-02-01,1985.8
2023-04-30,2023-04-30,1983-03-01,2008.7
2023-04-30,2023-04-30,1983-04-01,2033.7
2023-04-30,2023-04-30,1983-05-01,2030.1
2023-04-30,2023-04-30,1983-06-01,2051.9
2023-04-30,2023-04-30,1983-07-01,2068.9
2023-04-30,2023-04-30,1983-08-01,2071.1
2023-04-30,2023-04-30,1983-09-01,2080.6
2023-04-30,2023-04-30,1983-10-01,2099.3
2023-04-30,2023-04-30,1983-11-01,2117.8
2023-04-30,2023-04-30,1983-12-01,2131.0
2023-04-30,2023-04-30,1984-01-01,2144.9
2023-04-30,2023-04-30,1984-02-01,2147.2
2023-04-30,2023-04-30,1984-03-01,2166.3
2023-04-30,2023-04-30,1984-04-01,2192.6
2023-04-30,2023-04-30,1984-05-01,2190.6
2023-04-30,2023-04-30,1984-06-01,2212.9
2023-04-30,2023-04-30,1984-07-01,2225.9
2023-04-30,2023-04-30,1984-08-01,2229.1
2023-04-30,2023-04-30,1984-09-01,2241.1
2023-04-30,2023-04-30,1984-10-01,2256.2
2023-04-30,2023-04-30,1984-11-01,2284.4
2023-04-30,2023-04-30,1984-12-01,2314.9
2023-04-30,2023-04-30,1985-01-01,2341.1
2023-04-30,2023-04-30,1985-02-01,2341.7
2023-04-30,2023-04-30,1985-03-01,2357.6
2023-04-30,2023-04-30,1985-04-01,2377.6
2023-04-30,2023-04-30,1985-05-01,2374.7
2023-04-30,2023-04-30,1985-06-01,2408.7
